"ID","Win_Prob","Rating","Rating_time","Index","tables_normed$normed_rating"
"pat_02614_1073",0.75,-50,6,2,-0.227272727272727
"pat_02614_1073",0.75,-114,22,3,-0.518181818181818
"pat_02614_1073",0.75,-120,48,4,-0.545454545454545
"pat_02614_1073",0.25,0,0,1,0
"pat_02614_1073",0.25,220,6,2,1
"pat_02614_1073",0.25,220,22,3,1
"pat_02614_1073",0.25,220,48,4,1
"pat_02614_1073",0.5,0,0,1,0
"pat_02614_1073",0.5,161,6,2,0.731818181818182
"pat_02614_1073",0.5,0,22,3,0
"pat_02614_1073",0.5,0,48,4,0
"pat_02614_1073",0.75,0,0,1,0
"pat_02614_1073",0.75,-164,6,2,-0.745454545454545
"pat_02614_1073",0.75,-156,22,3,-0.709090909090909
"pat_02614_1073",0.75,-220,48,4,-1
"pat_02619_1078",0.25,-3,0,1,-0.0136363636363636
"pat_02619_1078",0.25,192,6,2,0.872727272727273
"pat_02619_1078",0.25,107,22,3,0.486363636363636
"pat_02619_1078",0.25,173,48,4,0.786363636363636
"pat_02619_1078",0.5,0,0,1,0
"pat_02619_1078",0.5,62,6,2,0.281818181818182
"pat_02619_1078",0.5,49,22,3,0.222727272727273
"pat_02619_1078",0.5,35,48,4,0.159090909090909
"pat_02619_1078",0.75,0,0,1,0
"pat_02619_1078",0.75,-220,6,2,-1
"pat_02619_1078",0.75,-193,22,3,-0.877272727272727
"pat_02619_1078",0.75,-88,48,4,-0.4
"pat_02619_1078",0.5,-1,0,1,-0.00454545454545455
"pat_02619_1078",0.5,39,6,2,0.177272727272727
"pat_02619_1078",0.5,48,22,3,0.218181818181818
"pat_02619_1078",0.5,-49,48,4,-0.222727272727273
"pat_02619_1078",0.25,0,0,1,0
"pat_02619_1078",0.25,49,6,2,0.222727272727273
"pat_02619_1078",0.25,60,22,3,0.272727272727273
"pat_02619_1078",0.25,109,48,4,0.495454545454545
"pat_02619_1078",0.75,0,0,1,0
"pat_02619_1078",0.75,-162,6,2,-0.736363636363636
"pat_02619_1078",0.75,-146,22,3,-0.663636363636364
"pat_02619_1078",0.75,-220,48,4,-1
"pat_02651_1127",0.25,2,0,1,0.00909090909090909
"pat_02651_1127",0.25,220,6,2,1
"pat_02651_1127",0.25,220,22,3,1
"pat_02651_1127",0.25,220,48,4,1
"pat_02651_1127",0.5,0,0,1,0
"pat_02651_1127",0.5,0,6,2,0
"pat_02651_1127",0.5,114,22,3,0.518181818181818
"pat_02651_1127",0.5,114,48,4,0.518181818181818
"pat_02651_1127",0.75,0,0,1,0
"pat_02651_1127",0.75,-115,6,2,-0.522727272727273
"pat_02651_1127",0.75,0,22,3,0
"pat_02651_1127",0.75,-112,48,4,-0.509090909090909
"pat_02651_1127",0.25,0,0,1,0
"pat_02651_1127",0.25,220,6,2,1
"pat_02651_1127",0.25,218,22,3,0.990909090909091
"pat_02651_1127",0.25,220,48,4,1
"pat_02651_1127",0.5,0,0,1,0
"pat_02651_1127",0.5,-3,6,2,-0.0136363636363636
"pat_02651_1127",0.5,110,22,3,0.5
"pat_02651_1127",0.5,106,48,4,0.481818181818182
"pat_02651_1127",0.75,-3,0,1,-0.0136363636363636
"pat_02651_1127",0.75,-219,6,2,-0.995454545454545
"pat_02651_1127",0.75,-220,22,3,-1
"pat_02651_1127",0.75,-220,48,4,-1
"pat_02660_1136",0.5,-2,0,1,-0.00909090909090909
"pat_02660_1136",0.5,0,6,2,0
"pat_02660_1136",0.5,118,22,3,0.536363636363636
"pat_02660_1136",0.5,113,48,4,0.513636363636364
"pat_02660_1136",0.25,0,0,1,0
"pat_02660_1136",0.25,0,6,2,0
"pat_02660_1136",0.25,220,22,3,1
"pat_02660_1136",0.25,220,48,4,1
"pat_02660_1136",0.75,0,0,1,0
"pat_02660_1136",0.75,-220,6,2,-1
"pat_02660_1136",0.75,-113,22,3,-0.513636363636364
"pat_02660_1136",0.75,-114,48,4,-0.518181818181818
"pat_02660_1136",0.25,0,0,1,0
"pat_02660_1136",0.25,220,6,2,1
"pat_02660_1136",0.25,216,22,3,0.981818181818182
"pat_02660_1136",0.25,220,48,4,1
"pat_02660_1136",0.75,0,0,1,0
"pat_02660_1136",0.75,0,6,2,0
"pat_02660_1136",0.75,0,22,3,0
"pat_02660_1136",0.75,0,48,4,0
"pat_02660_1136",0.5,0,0,1,0
"pat_02660_1136",0.5,0,6,2,0
"pat_02660_1136",0.5,0,22,3,0
"pat_02660_1136",0.5,0,48,4,0
"pat_02680_1158",0.25,160,0,1,0.727272727272727
"pat_02680_1158",0.25,220,6,2,1
"pat_02680_1158",0.25,195,22,3,0.886363636363636
"pat_02680_1158",0.25,185,48,4,0.840909090909091
"pat_02680_1158",0.5,170,0,1,0.772727272727273
"pat_02680_1158",0.5,179,6,2,0.813636363636364
"pat_02680_1158",0.5,1,22,3,0.00454545454545455
"pat_02680_1158",0.5,93,48,4,0.422727272727273
