Timecode,WinLose,WinProb,Trial,Condition,Time,Tot_spikes1,Tot_spikes2,Tot_spikes3,Tot_spikes4,Tot_spikes5,Tot_spikes6,Tot_spikes7,Tot_spikes8,Tot_spikes9,Tot_spikes10,Tot_spikes11,Tot_spikes12,Tot_spikes13,Tot_spikes14,Tot_spikes15,Tot_spikes16,Tot_spikes17,Tot_spikes18,Tot_spikes19,Tot_spikes20,Tot_spikes21,Tot_spikes22,Tot_spikes23,Tot_spikes24,Tot_spikes25,Tot_spikes26,Tot_spikes27,Tot_spikes28,Tot_spikes29,Tot_spikes30,Tot_spikes31,Tot_spikes32,Tot_spikes33,Tot_spikes34,Tot_spikes35,Tot_spikes36,Tot_spikes37,Tot_spikes38,Tot_spikes39,Tot_spikes40,Tot_spikes41,Tot_spikes42,Tot_spikes43,Tot_spikes44,Tot_spikes45,Tot_spikes46,Tot_spikes47,Tot_spikes48,Tot_spikes49,Tot_spikes50,Tot_spikes51
234482993,0,low,1,NonSocial,7155.85305786133,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,4,9,31,3,1,0,19,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234677114,0,low,2,NonSocial,7161.77716064453,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,8,32,0,3,0,13,0,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234871231,0,low,3,NonSocial,7167.70114135742,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,14,40,1,1,0,18,1,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235065355,0,low,4,NonSocial,7173.62533569336,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,6,6,17,0,1,0,7,3,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235259452,1,low,5,NonSocial,7179.54870605469,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,4,10,25,2,2,0,6,5,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235525652,0,low,6,NonSocial,7187.67248535156,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,3,5,19,0,3,2,15,5,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235769503,0,low,7,NonSocial,7195.11422729492,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,4,9,27,2,0,0,5,4,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235963611,0,low,8,NonSocial,7201.03793334961,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,5,19,20,0,1,1,18,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236157734,0,low,9,NonSocial,7206.96209716797,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,8,13,3,2,0,7,4,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236401544,0,low,10,NonSocial,7214.40258789062,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,3,7,20,2,4,0,7,4,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236595663,0,low,11,NonSocial,7220.32662963867,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,3,8,21,3,1,0,4,1,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236789788,0,low,12,NonSocial,7226.25085449219,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,1,9,23,1,0,3,18,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236983908,0,low,13,NonSocial,7232.17492675781,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,2,10,14,2,7,0,3,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237178001,1,low,14,NonSocial,7238.09817504883,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,11,12,0,2,0,6,2,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237421814,0,low,15,NonSocial,7245.53875732422,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,5,26,1,1,4,10,3,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237615935,1,low,16,NonSocial,7251.46286010742,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,1,6,20,1,1,1,3,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237810055,0,low,17,NonSocial,7257.38693237305,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,7,6,22,0,4,0,6,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238004207,0,low,18,NonSocial,7263.31198120117,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,8,29,2,1,0,20,3,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238198321,0,low,19,NonSocial,7269.23587036133,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,3,12,26,1,1,0,4,6,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238392444,0,low,20,NonSocial,7275.16003417969,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,9,7,25,0,0,0,2,2,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238656459,0,low,21,NonSocial,7283.21713256836,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,13,20,0,5,0,3,4,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238850579,0,low,22,NonSocial,7289.14120483398,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,8,13,19,1,5,0,6,3,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239044706,0,low,23,NonSocial,7295.06549072266,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,9,24,1,2,0,6,2,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239240234,0,low,24,NonSocial,7301.03253173828,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,8,23,0,0,0,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239434286,1,low,25,NonSocial,7306.95452880859,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,11,27,2,9,0,6,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239628406,0,low,26,NonSocial,7312.87860107422,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,6,9,27,1,2,0,5,2,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239822553,0,low,27,NonSocial,7318.80349731445,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,10,18,1,5,2,11,5,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240016673,0,low,28,NonSocial,7324.72756958008,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,8,20,2,4,0,3,1,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240210767,1,low,29,NonSocial,7330.65084838867,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,2,14,25,0,5,0,22,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240404888,0,low,30,NonSocial,7336.57495117188,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,6,19,0,3,0,5,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240599009,1,low,31,NonSocial,7342.49905395508,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,9,10,25,1,4,0,7,1,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240793130,0,low,32,NonSocial,7348.42315673828,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,17,25,3,1,0,3,3,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240987278,0,low,33,NonSocial,7354.34808349609,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,11,12,0,2,0,9,1,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241181397,0,low,34,NonSocial,7360.27212524414,0,0,0,0,0,0,0,0,0,0,0,0,0,54,11,0,13,24,3,3,0,27,2,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241380560,0,low,35,NonSocial,7366.35009765625,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,0,12,12,2,6,2,7,6,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241574554,0,low,36,NonSocial,7372.27032470703,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,7,18,0,1,0,3,1,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241768650,1,low,37,NonSocial,7378.19366455078,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,10,12,1,5,0,8,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241962796,1,low,38,NonSocial,7384.11853027344,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,10,11,25,0,0,0,10,2,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242156917,1,low,39,NonSocial,7390.04263305664,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,2,1,18,3,1,0,3,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242351038,1,low,40,NonSocial,7395.96673583984,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,2,4,24,3,6,0,4,3,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242545134,0,low,41,NonSocial,7401.89007568359,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,3,16,0,2,0,3,3,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242739280,0,low,42,NonSocial,7407.81494140625,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0,9,20,0,1,0,1,5,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242983093,0,low,43,NonSocial,7415.25552368164,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,7,7,26,3,8,0,13,2,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243177218,0,low,44,NonSocial,7421.17974853516,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,11,5,2,5,0,5,10,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243371334,0,low,45,NonSocial,7427.10369873047,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,8,14,3,5,1,6,3,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215981406,1,med,1,NonSocial,6591.22943115234,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,7,14,26,5,4,0,10,1,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216175524,0,med,2,NonSocial,6597.15344238281,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,6,10,31,3,1,0,21,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216369645,1,med,3,NonSocial,6603.07754516602,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,7,8,39,3,2,0,12,0,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216563766,0,med,4,NonSocial,6609.00164794922,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,11,25,1,5,1,11,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216757887,1,med,5,NonSocial,6614.92575073242,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,3,6,24,4,4,0,9,1,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217021903,0,med,6,NonSocial,6622.98287963867,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,3,0,32,0,1,0,3,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217216024,1,med,7,NonSocial,6628.90698242188,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,9,6,22,3,8,0,2,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217410170,1,med,8,NonSocial,6634.83184814453,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,9,26,1,6,1,21,2,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
